id,sentence
0,"Wall Street's major averages on Wednesday hovered just above the flatline ahead of the Federal Reserve's monetary policy decision
 Wall Street's major averages on Wednesday hovered just above the flatline ahead of the Federal Reserve's monetary policy decision."
1,A market rally built upon a consensus that rate hikes are done will be tested as traders wait to see what chief Jerome Powell has to say.
2,"Approaching mid-day, the tech-heavy Nasdaq Composite (COMP.IND) was higher by 0.12% to 14,551.19 points, while the benchmark S&P 500 (SP500) added 0.14% to 4,650.15 points."
3,"The blue-chip Dow (DJI) inched up 0.03% to 36,587.67 points."
4,"Of the 11 S&P sectors, seven were in the green, led by Utilities."
5,The central bank's monetary policy committee is pretty much a lock-in to hold steady on rates.
6,The focus is on Powell's comments and whether he will talk about rate cuts.
7,Attention will also be on the updated dot plot of economic and rate projections.
8,"With inflation data and labor market indicators trending in a favorable direction since the last Fed meeting, markets have aggressively priced in more than 100 basis points of rate cuts in 2024."
9,"""Although 2023 didn’t bring the scale of hikes we saw in 2022, the Fed still surprised markets in a hawkish direction."
10,"Not only did they lift the fed funds by 100bps, which was more than the 63.8bps priced at the start of the year, they also didn’t deliver any cuts at all, with markets expecting 38.5bps at the start of 2023, albeit from a lower peak,"" Deutsche Bank's Jim Reid said."
11,"""Although we haven’t had cuts yet, tonight is still likely to be an important milestone, since the dot plot is expected to shift in a dovish direction for the first time since the pandemic."
12,"Specifically, if our U.S. economists’ forecasts are right, then the dots for 2023-25 will be slightly lower than they were in September,"" Reid added."
13,"""Powell 'holding rates steady."
14,Although progress has been made in lowering inflation it is too soon to declare victory.
15,The Fed will continue to hold rates higher for longer and will observe data for future policy decisions' - I wrote this for him.
16,"Keep our day simple,"" Ross Gerber, co-founder and CEO of Gerber Kawasaki Wealth & Investment Management, weighed in on X (formerly Twitter)."
17,"Another batch of encouraging inflation data was published before the opening bell, with the producer price index (PPI) for November coming in unchanged."
18,Economists had expected a 0.1% rise.
19,"Core PPI, which excludes food and energy, was also unchanged."
20,The PPI data comes a day after November's consumer price index reading came in a shade higher than anticipated.
21,"""Today’s PPI data indicate that core (personal consumption expenditures) inflation will run south of core CPI over the month."
22,"The Fed will need to revise its core PCE estimates down, hastening a cut in the federal funds rate,"" Renaissance Macro said."
23,"Additionally, the Atlanta Fed's gauge of business inflation expectations for December ticked lower."
24,"Treasury yields were lower, a day after a $21B 30-year note auction showed a marked improvement in demand from the previous auction, which had tailed by its biggest margin ever."
25,"The 30-year yield (US30Y) was down 4 basis points to 4.26%, while the 10-year yield (US10Y) was down 5 basis points to 4.15%."
26,The shorter-end more rate-sensitive 2-year yield (US2Y) was down 6 basis points to 4.67%.
27,See live data on how Treasury yields are doing across the curve at the Seeking Alpha bond page.
