id,sentence
0,"U.S. stocks on Wednesday traded near the flatline, as investors refrained from big moves ahead of the Federal Reserve's monetary policy decision in the afternoon."
1,"U.S. stocks on Wednesday traded near the flatline, as investors refrained from big moves ahead of the Federal Reserve's monetary policy decision in the afternoon."
2,Market participants received further economic data that showed a cooling in producer inflation.
3,Treasury yields slid after the figures and amid expectations for a pause in rate hikes.
4,"By mid-day, the tech-heavy Nasdaq Composite (COMP.IND) had added 0.39% to 13,626.80 points, while the benchmark S&P 500 (SP500) had risen 0.31% to 4,382.72 points."
5,"The Dow (DJI) was under pressure, falling 0.30% to 34,111.04 points."
6,The blue-chip index was weighed down by a slump in shares of UnitedHealth (UNH).
7,"All 11 S&P sectors were trading in the green, with the exception of Health Care and Energy."
8,Utilities and Technology topped the leaderboard.
9,"Wall Street's major averages have posted gains in the last two sessions in the runup to the Fed's meeting, with the benchmark S&P (SP500) hitting fresh 52-week closing highs."
10,Sentiment yesterday was helped by a moderation in consumer inflation in May.
11,"""Investor risk appetite has remained pretty strong over the last 24 hours, with the S&P 500 (SP500) hitting a fresh one-year high and posting a 4th consecutive advance,"" Deutsche Bank's Jim Reid said."
12,"""This optimism was evident across multiple asset classes, with oil prices rising and credit spreads tightening as well."
13,"But the flip side of all this positivity has been growing skepticism that central banks will cut rates at all this year, which led to a sovereign bond selloff as investors priced in higher rates for longer."""
14,"On Wednesday, the producer price index (PPI) report for May came in, with the headline number falling more than expected on a M/M basis and trailing the consensus on a Y/Y basis."
15,"""The core (PPI) rate dipped to 2.8% in May from 3.2% in April and 8.6% in May last year, so the downward trend in the headline is not just a story of falling food and energy prices,"" Pantheon Macro's Ian Shepherdson said."
16,"""The pace of margin compression is uneven and the past couple months have been disappointing, but the big picture is intact: Slowing demand growth for goods, coupled with the dramatic turnaround in supply chains, means that gross margins cannot be sustained at their pandemic-boosted level."
17,"Margin re-compression over the next year will exert intense downward pressure on core PCE inflation and the GDP deflator, as well as the PPI,"" Shepherdson added."
18,"The central bank will release its policy decision later today at 1400 ET, followed by chair Jerome Powell's press conference at 1430 ET."
19,The expectation is for the Fed to keep rates steady but signal a hike at the July meeting.
20,Treasury yields fell after the inflation data and amid the anticipation of no rate hike.
