Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,15,0.2777777777777778,0.38095238095238093,0.5714285714285714,0.2857142857142857,"Based on the training data, higher average similarity scores (above 0.33) tend to correlate with high price volatility, while scores below 0.34 generally correspond to low volatility. The strongest predictive threshold appears to be around 0.35."
News Similarity Score,positive,0.2,20,0.6666666666666666,0.8,0.75,0.8571428571428571,"Higher average similarity scores generally correlate with higher price volatility. A threshold around 0.45 seems to separate high volatility from low volatility, with most scores above this value predicting high volatility."
Statement Similarity Score,positive,0.33,15,0.4666666666666667,0.6190476190476191,0.7222222222222222,0.5416666666666666,"Higher average similarity scores generally correlate with high price volatility, while lower scores are associated with low volatility. A threshold around 0.33 can be indicative of low volatility, whereas scores above 0.35 tend to indicate high volatility."
News Similarity Score,positive,0.33,20,0.7666666666666667,0.8679245283018868,0.7931034482758621,0.9583333333333334,"Higher Average Similarity Scores (generally above 0.45) are strongly associated with High price volatility, whereas scores below 0.35 tend to indicate Low price volatility."
Statement Similarity Score,negative,0.2,15,0.8,0.88,0.9166666666666666,0.8461538461538461,"Higher average similarity scores (above 0.34) tend to correlate with high price volatility, whereas lower scores (below 0.30) are often associated with low volatility."
News Similarity Score,negative,0.2,20,0.8,0.8888888888888888,0.8571428571428571,0.9230769230769231,"Higher average similarity scores (above 0.450) are generally associated with High price volatility, while scores below this threshold correlate with Low price volatility."
Statement Similarity Score,negative,0.33,15,0.64,0.7692307692307693,0.8333333333333334,0.7142857142857143,"The analysis indicates that higher average similarity scores (around 0.32 and above) are generally associated with high price volatility, while lower scores (below 0.32) tend to correlate with low price volatility."
News Similarity Score,negative,0.33,20,0.72,0.8372093023255814,0.8181818181818182,0.8571428571428571,"Higher average similarity scores generally indicate increased price volatility. Scores above approximately 0.45 are frequently associated with 'High' price volatility, while scores below this threshold tend to correlate with 'Low' volatility."
Statement Similarity Score,positive,0.2,20,0.6111111111111112,0.72,0.8181818181818182,0.6428571428571429,"Higher average similarity scores generally indicate a higher likelihood of price volatility, with many scores above 0.33 correlating with High volatility. Scores below 0.30 often correlate with Low volatility."
News Similarity Score,positive,0.2,25,0.6111111111111112,0.7586206896551724,0.7333333333333333,0.7857142857142857,"Higher Average Similarity Scores (generally above 0.4) are associated with High Price Volatility, while scores below this threshold tend to correlate with Low Volatility."
Statement Similarity Score,positive,0.33,20,0.5,0.6341463414634146,0.7647058823529411,0.5416666666666666,"Higher Average Similarity Scores tend to correlate with High Price Volatility, indicating that market reactions are stronger when press conference statements closely align with the baseline texts. Conversely, scores below approximately 0.290 often indicate Low Price Volatility."
